make,model,variant,full_name,body_type,price_ex_showroom,fuel_type,transmission,engine_cc,power_bhp,torque_nm,drivetrain,mileage_arai_kmpl,mileage_arai_km_per_kg,claimed_ev_range_km,seating_capacity,boot_space_litres,ground_clearance_mm,airbags,abs,esc,hill_assist,tyre_pressure_monitoring_system,rear_parking_sensors,rear_camera,camera_360,automatic_climate_control,rear_ac_vents,android_auto,apple_carplay,sunroof,ventilated_front_seats,connected_car_features,adas_available,source,source_last_updated
Hyundai,Creta,King Edition Petrol 1.5L Automatic (DCT),Hyundai Creta King Edition Petrol 1.5L Automatic (DCT),SUV,1991300,Petrol,Automatic (DCT),1482,158.0,253.0,FWD,18.4,,,5.0,,190,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CarWale,2026-06-19T12:29:07.587413+00:00
Hyundai,Creta,King Edition Diesel 1.5L Turbo Automatic (TC) Dual Tone,Hyundai Creta King Edition Diesel 1.5L Turbo Automatic (TC) Dual Tone,SUV,1992800,Diesel,Automatic (TC),1493,114.0,250.0,FWD,19.1,,,5.0,,190,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CarWale,2026-06-19T12:29:07.587640+00:00
Hyundai,Creta,King Edition Petrol 1.5L Turbo Automatic (DCT) Dual Tone,Hyundai Creta King Edition Petrol 1.5L Turbo Automatic (DCT) Dual Tone,SUV,2006300,Petrol,Automatic (DCT),1482,158.0,253.0,FWD,18.4,,,5.0,,190,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CarWale,2026-06-19T12:29:07.587840+00:00
Mahindra,XUV 3XO,MX1 Petrol 1.2L Turbo Manual,Mahindra XUV 3XO MX1 Petrol 1.2L Turbo Manual,SUV,754000,Petrol,Manual,1197,110.0,200.0,FWD,18.89,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,False,False,False,,False,False,CarWale,2026-06-19T12:29:08.086692+00:00
Mahindra,XUV 3XO,REVX M Petrol 1.2L Turbo Manual,Mahindra XUV 3XO REVX M Petrol 1.2L Turbo Manual,SUV,839400,Petrol,Manual,1197,110.0,200.0,FWD,18.89,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,False,False,False,,False,False,CarWale,2026-06-19T12:29:08.086969+00:00
Mahindra,XUV 3XO,REVX M (O) Petrol 1.2L Turbo Manual,Mahindra XUV 3XO REVX M (O) Petrol 1.2L Turbo Manual,SUV,891000,Petrol,Manual,1197,110.0,200.0,FWD,18.89,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,False,False,True,,False,False,CarWale,2026-06-19T12:29:08.087186+00:00
Mahindra,XUV 3XO,MX2 Pro Petrol 1.2L Turbo Manual,Mahindra XUV 3XO MX2 Pro Petrol 1.2L Turbo Manual,SUV,899000,Petrol,Manual,1197,110.0,200.0,FWD,18.89,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,False,False,True,,False,False,CarWale,2026-06-19T12:29:08.087390+00:00
Mahindra,XUV 3XO,MX3 Petrol 1.2L Turbo Manual,Mahindra XUV 3XO MX3 Petrol 1.2L Turbo Manual,SUV,919500,Petrol,Manual,1197,110.0,200.0,FWD,18.89,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,True,True,True,,False,False,CarWale,2026-06-19T12:29:08.087608+00:00
Mahindra,XUV 3XO,MX2 Diesel 1.5L Turbo Manual,Mahindra XUV 3XO MX2 Diesel 1.5L Turbo Manual,SUV,922000,Diesel,Manual,1498,115.0,300.0,FWD,20.6,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,False,False,False,,False,False,CarWale,2026-06-19T12:29:08.087810+00:00
Mahindra,XUV 3XO,MX3 Pro Petrol 1.2L Turbo Manual,Mahindra XUV 3XO MX3 Pro Petrol 1.2L Turbo Manual,SUV,942000,Petrol,Manual,1197,110.0,200.0,FWD,18.89,,,5.0,,201,6,True,True,True,False,True,False,False,False,True,True,True,True,,False,False,CarWale,2026-06-19T12:29:08.088024+00:00
