make,model,variant,full_name,model_year,body_type,segment,generation,facelift_status,discontinued,price_ex_showroom,price_on_road,price_city,currency,fuel_type,engine_cc,cylinders,turbocharged,power_bhp,torque_nm,drivetrain,transmission,gearbox_speeds,acceleration_0_100_seconds,top_speed_kmph,mileage_arai_kmpl,mileage_arai_km_per_kg,mileage_real_world_kmpl,fuel_tank_capacity_litres,battery_capacity_kwh,claimed_ev_range_km,charging_time_ac_hours,charging_time_dc_minutes,seating_capacity,boot_space_litres,ground_clearance_mm,length_mm,width_mm,height_mm,wheelbase_mm,kerb_weight_kg,turning_radius_metres,airbags,abs,ebd,esc,traction_control,hill_assist,hill_descent_control,tyre_pressure_monitoring_system,rear_parking_sensors,front_parking_sensors,rear_camera,camera_360,adas_available,adaptive_cruise_control,lane_keep_assist,lane_departure_warning,automatic_emergency_braking,blind_spot_monitoring,crash_test_rating,crash_test_agency,sunroof,panoramic_sunroof,automatic_climate_control,cruise_control,ventilated_front_seats,powered_driver_seat,powered_front_seats,rear_ac_vents,keyless_entry,push_button_start,wireless_charging,infotainment_screen_inches,android_auto,apple_carplay,connected_car_features,standard_warranty_years,standard_warranty_km,service_interval_km,service_interval_months,estimated_annual_service_cost,reliability_score,resale_value_score,service_network_score,source,source_url,source_last_updated,scraped_at,scrape_run_id,field_completeness_score
Hyundai,Creta,King Edition Diesel 1.5L Turbo Manual,Hyundai Creta King Edition Diesel 1.5L Turbo Manual,,SUV,,,,,1885800,,,,Diesel,1493,,,114.0,250.0,,Manual,,,,21.8,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/king-edition-diesel-15l-turbo-manual/,,2026-06-19T12:29:07.586781+00:00,75f883a9-e3ea-44f0-9dff-cf99d6bfa1f6,25.27
Hyundai,Creta,King Edition Diesel 1.5L Turbo Manual Dual Tone,Hyundai Creta King Edition Diesel 1.5L Turbo Manual Dual Tone,,SUV,,,,,1900800,,,,Diesel,1493,,,114.0,250.0,,Manual,,,,21.8,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/king-edition-diesel-15l-turbo-manual-dual-tone/,,2026-06-19T12:29:07.586982+00:00,8379013b-5b94-4702-b611-6d55acf148e5,25.27
Hyundai,Creta,King Edition Diesel 1.5L Turbo Automatic (TC),Hyundai Creta King Edition Diesel 1.5L Turbo Automatic (TC),,SUV,,,,,1977800,,,,Diesel,1493,,,114.0,250.0,,Automatic (TC),,,,19.1,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/king-edition-diesel-15l-turbo-automatic-tc/,,2026-06-19T12:29:07.587184+00:00,86ab19fc-fa43-4c0d-af3d-2014509e0d68,25.27
Hyundai,Creta,King Edition Petrol 1.5L Automatic (DCT),Hyundai Creta King Edition Petrol 1.5L Automatic (DCT),,SUV,,,,,1991300,,,,Petrol,1482,,,158.0,253.0,,Automatic (DCT),,,,18.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/king-edition-petrol-15l-automatic-dct/,,2026-06-19T12:29:07.587413+00:00,e6c14705-f8cd-4071-89df-c1683d1f5a65,25.27
Hyundai,Creta,King Edition Diesel 1.5L Turbo Automatic (TC) Dual Tone,Hyundai Creta King Edition Diesel 1.5L Turbo Automatic (TC) Dual Tone,,SUV,,,,,1992800,,,,Diesel,1493,,,114.0,250.0,,Automatic (TC),,,,19.1,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/king-edition-diesel-15l-turbo-automatic-tc-dual-tone/,,2026-06-19T12:29:07.587640+00:00,2fbabb3b-6caf-41b7-a1a0-bbd02609b0d7,25.27
Hyundai,Creta,King Edition Petrol 1.5L Turbo Automatic (DCT) Dual Tone,Hyundai Creta King Edition Petrol 1.5L Turbo Automatic (DCT) Dual Tone,,SUV,,,,,2006300,,,,Petrol,1482,,,158.0,253.0,,Automatic (DCT),,,,18.4,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,CarWale,https://www.carwale.com/hyundai-cars/creta/king-edition-petrol-15l-turbo-automatic-dct-dual-tone/,,2026-06-19T12:29:07.587840+00:00,68f9d38d-7947-4794-8fbd-a4dea3726742,25.27
Mahindra,XUV 3XO,MX1 Petrol 1.2L Turbo Manual,Mahindra XUV 3XO MX1 Petrol 1.2L Turbo Manual,,SUV,,,,,754000,,,,Petrol,1197,,True,110.0,200.0,,Manual,,,,18.89,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,False,,,,,,,,,,CarWale,https://www.carwale.com/mahindra-cars/xuv-3xo/mx1-petrol-12l-turbo-manual/,,2026-06-19T12:29:08.086692+00:00,b5c2eba5-927d-4a9e-a9d8-1d2d9b55f9c7,26.37
Mahindra,XUV 3XO,REVX M Petrol 1.2L Turbo Manual,Mahindra XUV 3XO REVX M Petrol 1.2L Turbo Manual,,SUV,,,,,839400,,,,Petrol,1197,,,110.0,200.0,,Manual,,,,18.89,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,False,,,,,,,,,,CarWale,https://www.carwale.com/mahindra-cars/xuv-3xo/revx-m-petrol-12l-turbo-manual/,,2026-06-19T12:29:08.086969+00:00,97465aeb-5ed2-46c8-ba7e-785949de57d3,25.27
Mahindra,XUV 3XO,REVX M (O) Petrol 1.2L Turbo Manual,Mahindra XUV 3XO REVX M (O) Petrol 1.2L Turbo Manual,,SUV,,,,,891000,,,,Petrol,1197,,,110.0,200.0,,Manual,,,,18.89,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,False,,,,,,,,,,CarWale,https://www.carwale.com/mahindra-cars/xuv-3xo/revx-m-o-petrol-12l-turbo-manual/,,2026-06-19T12:29:08.087186+00:00,49ba3d92-2c66-4587-a316-a98c236e3352,25.27
Mahindra,XUV 3XO,MX2 Pro Petrol 1.2L Turbo Manual,Mahindra XUV 3XO MX2 Pro Petrol 1.2L Turbo Manual,,SUV,,,,,899000,,,,Petrol,1197,,,110.0,200.0,,Manual,,,,18.89,,,,,,,,5,,,,,,,,,6,True,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,False,,,,,,,,,,CarWale,https://www.carwale.com/mahindra-cars/xuv-3xo/mx2-pro-petrol-12l-turbo-manual/,,2026-06-19T12:29:08.087390+00:00,da02f946-6361-40a9-838c-07f8dd74d2dd,25.27
